Column_Name,Unique_Data,Missing_Data,Missing_Percentage,Data_Types,Count,Mean,Std,Min,25%,50%,75%,Max
ID,1000,0,0.0,uint16,1000.0,500.5,288.82,1.0,250.75,500.5,750.25,1000.0
saving_ratio,100,0,0.0,float32,1000.0,0.35,0.23,0.02,0.19,0.32,0.46,1.02
debt_saving_ratio,100,0,0.0,float32,1000.0,0.33,0.23,0.0,0.17,0.3,0.44,1.0
default,2,0,0.0,uint8,1000.0,0.3,0.46,0.0,0.0,0.0,1.0,1.0
account_check_status,4,0,0.0,object,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature
duration_in_month,33,0,0.0,uint8,1000.0,20.9,12.06,4.0,12.0,18.0,24.0,72.0
credit_history,5,0,0.0,object,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature
purpose,10,0,0.0,object,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature
credit_amount,921,0,0.0,uint16,1000.0,3271.26,2822.74,250.0,1365.5,2319.5,3972.25,18424.0
savings,5,0,0.0,object,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature
present_emp_since,5,0,0.0,object,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature
installment_as_income_perc,4,0,0.0,uint8,1000.0,2.97,1.12,1.0,2.0,3.0,4.0,4.0
personal_status_sex,4,0,0.0,object,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature
other_debtors,3,0,0.0,object,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature
present_res_since,4,0,0.0,uint8,1000.0,2.84,1.1,1.0,2.0,3.0,4.0,4.0
property,4,0,0.0,object,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature
age,53,0,0.0,uint8,1000.0,35.55,11.38,19.0,27.0,33.0,42.0,75.0
other_installment_plans,3,0,0.0,object,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature
housing,3,0,0.0,object,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature
credits_this_bank,4,0,0.0,uint8,1000.0,1.41,0.58,1.0,1.0,1.0,2.0,4.0
job,4,0,0.0,object,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature
people_under_maintenance,2,0,0.0,uint8,1000.0,1.16,0.36,1.0,1.0,1.0,1.0,2.0
telephone,2,0,0.0,object,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature
foreign_worker,2,0,0.0,object,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature,categorical_feature
